"Id","ID pojazdu","ID pasażera","Rola","Data urodzenia","Płeć","Uprawnienia do prowadzenia pojazdu","Liczba lat kierowania","Przyczyna wypadku","Kara","Pod wpływem","Obrażenia","Nieprawidłowe użycie","...7","...10"
106962849,"1","1","Kierujący","1985-07-31","Kobieta","Posiada","15","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106962849,"2","1","Kierujący","1979-09-21","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106962856,"1","1","Kierujący","2004-09-21","Mężczyzna","Nie wymagane",NA,"Inne przyczyny","Inny sposób zakończenia","Trzeźwy",NA,NA,NA,NA
106962856,"2","1","Kierujący","1953-03-17","Mężczyzna","Posiada","34",NA,NA,"Trzeźwy",NA,NA,NA,NA
106963138,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106963138,"2","1","Kierujący","1993-11-11","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106963278,"1","1","Kierujący","1970-03-07","Mężczyzna","Nie wymagane",NA,"Inne przyczyny","Mandat karny","Trzeźwy",NA,NA,NA,NA
106963278,"2","1","Kierujący","1940-01-06","Mężczyzna","Posiada","49",NA,NA,"Trzeźwy",NA,NA,NA,NA
106963388,"1","1","Kierujący","1998-06-07","Kobieta","Posiada","1","Nieprawidłowe: wyprzedzanie","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106963388,"2","1","Kierujący","2006-09-05","Mężczyzna","Posiada","1",NA,NA,"Trzeźwy","Ranny ciężko",NA,NA,NA
106963408,"1","1","Kierujący","1980-06-25","Kobieta","Posiada","7",NA,NA,"Trzeźwy",NA,NA,NA,NA
106963408,"2","1","Kierujący","2005-08-26","Kobieta","Nie posiada",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,"Hełmu",NA,NA
106963456,"1","1","Kierujący","1982-06-01","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106963456,"2","1","Kierujący","1974-11-30","Kobieta","Posiada","26","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106963488,"1","1","Kierujący","1997-11-27","Mężczyzna","Nie wymagane",NA,"Inne przyczyny","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106964007,"1","1","Kierujący","1992-02-06","Mężczyzna","Posiada","8","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106964007,"2","1","Kierujący","1992-07-12","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106965896,"1","1","Kierujący","2003-07-31","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106965896,"2","1","Kierujący","1972-02-01","Kobieta","Posiada","9","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106966234,"1","1","Kierujący","1976-12-16","Mężczyzna","Posiada","21",NA,NA,"Trzeźwy",NA,NA,NA,NA
106966234,"2","1","Kierujący","1992-03-09","Kobieta","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy","Ranny lekko",NA,NA,NA
106966276,"1","1","Kierujący","2004-01-08","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106966276,"2","1","Kierujący","1982-03-18","Kobieta","Posiada","13","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106966956,"1","1","Kierujący","2007-09-07","Kobieta","Nie wymagane",NA,NA,"Inny sposób zakończenia","Trzeźwy",NA,NA,NA,NA
106966956,"2","1","Kierujący","1979-01-26","Kobieta","Posiada","13",NA,NA,"Trzeźwy",NA,NA,NA,NA
106967670,"1","1","Kierujący","1970-06-17","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny ciężko",NA,NA,NA
106967670,"2","1","Kierujący","1983-11-30","Mężczyzna","Nie posiada",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106967691,"1","1","Kierujący","1984-03-07","Mężczyzna","Posiada","16","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106967691,"2","1","Kierujący","1976-05-29","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106967975,"1","1","Kierujący","2000-02-26","Kobieta","Posiada","1","Niezachowanie bezp. odl. między pojazdami","Mandat karny","Trzeźwy",NA,NA,NA,NA
106967975,"2","1","Kierujący","1980-10-23","Kobieta","Posiada","15",NA,NA,"Trzeźwy",NA,NA,NA,NA
106967975,"3","1","Kierujący","1979-08-08","Mężczyzna","Nie wymagane",NA,"Inne przyczyny","Mandat karny","Trzeźwy",NA,NA,NA,NA
106968323,"1","1","Kierujący","2010-08-06","Mężczyzna","Nie posiada",NA,NA,"Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106968323,"2","1","Kierujący","1949-12-15","Mężczyzna","Posiada","18",NA,NA,"Trzeźwy",NA,NA,NA,NA
106968826,"1","1","Kierujący","1953-01-16","Mężczyzna","Posiada","41","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106968826,"2","1","Kierujący","1960-03-07","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny ciężko",NA,NA,NA
106969101,"1","1","Kierujący","1975-05-22","Mężczyzna","Posiada","19","Niezachowanie bezp. odl. między pojazdami","Mandat karny","Trzeźwy",NA,NA,NA,NA
106969101,"2","1","Kierujący","1981-01-26","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106969389,"1","1","Kierujący","Nieustalona","Kobieta",NA,NA,NA,NA,"Nie badano",NA,NA,NA,NA
106969389,"2","1","Kierujący","1941-04-27","Kobieta","Posiada","39","Nieudzielenie pierwszeństwa przejazdu","Pouczenie","Nie badano",NA,NA,NA,NA
106969422,"1","1","Kierujący","1956-04-13","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106969422,"2","1","Kierujący","1984-03-27","Mężczyzna","Posiada","17","Nieprawidłowe przejeżdżanie przejazdu dla rowerzystów","Mandat karny","Trzeźwy",NA,NA,NA,NA
106969830,"1","1","Kierujący","2003-07-17","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106969830,"2","1","Kierujący","1939-04-22","Mężczyzna","Posiada","41","Nieprawidłowe: skręcanie","Mandat karny","Trzeźwy",NA,NA,NA,NA
106970018,"1","1","Kierujący","1976-02-27","Kobieta","Posiada","19","Nieprawidłowe: skręcanie","Mandat karny","Trzeźwy",NA,NA,NA,NA
106970018,"2","1","Kierujący","1972-09-10","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106970163,"2","1","Kierujący","2009-06-18","Mężczyzna","Nie wymagane",NA,"Nieprawidłowe: omijanie","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106970813,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106970813,"2","1","Kierujący","1975-09-06","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106971847,"1","1","Kierujący","1982-11-13","Mężczyzna","Posiada","17","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106971847,"2","1","Kierujący","1971-01-24","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106972026,"1","1","Kierujący","1986-06-11","Mężczyzna","Nie wymagane",NA,"Nieprawidłowe: wymijanie","Mandat karny","Trzeźwy",NA,NA,NA,NA
106972026,"2","1","Kierujący","1987-07-03","Kobieta","Nie wymagane",NA,"Nieprawidłowe: wymijanie","Mandat karny","Trzeźwy",NA,NA,NA,NA
106972117,"1","1","Kierujący","1966-03-06","Mężczyzna","Nie wymagane",NA,"Nieprawidłowe: omijanie","Mandat karny","Alkoholu",NA,NA,NA,NA
106972524,"1","1","Kierujący","1987-07-30","Kobieta","Posiada","13","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106972524,"2","1","Kierujący","1979-07-04","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106972968,"1","1","Kierujący","1947-10-23","Mężczyzna","Posiada","53","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106972968,"2","1","Kierujący","1977-04-06","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106973158,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106973158,"2","1","Kierujący","1948-07-19","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106973266,"1","1","Kierujący","1992-02-10","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106973266,"2","1","Kierujący","1982-01-01","Kobieta","Posiada","11","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106973331,"1","1","Kierujący","Nieustalona","Mężczyzna",NA,NA,"Nieprawidłowe: omijanie","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106973331,"2","1","Kierujący","Nieustalona","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106973565,"1","1","Kierujący","1971-02-05","Kobieta","Posiada","15",NA,NA,"Trzeźwy",NA,NA,NA,NA
106973565,"2","1","Kierujący","1982-03-27","Kobieta","Nie wymagane",NA,NA,"Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106973647,"1","1","Kierujący","1975-04-02","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106973733,"1","1","Kierujący","Nieustalona","Mężczyzna",NA,NA,"Nieprawidłowe: skręcanie","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106973733,"2","1","Kierujący","1978-04-13","Kobieta","Posiada","18",NA,NA,"Trzeźwy",NA,NA,NA,NA
106974472,"1","1","Kierujący","2009-05-05","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106974472,"2","1","Kierujący","1994-01-06","Mężczyzna","Posiada","5","Nieprawidłowe: cofanie","Mandat karny","Trzeźwy",NA,NA,NA,NA
106975264,"1","1","Kierujący","1962-06-01","Mężczyzna","Posiada","27","Nieprawidłowe przejeżdżanie przejazdu dla rowerzystów","Mandat karny","Trzeźwy",NA,NA,NA,NA
106975264,"2","1","Kierujący","1991-05-31","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106975742,"1","1","Kierujący","1992-08-13","Kobieta","Nie wymagane",NA,"Wjazd przy czerwonym świetle","Mandat karny","Trzeźwy",NA,NA,NA,NA
106975742,"2","1","Kierujący","1950-12-28","Mężczyzna","Posiada","51",NA,NA,"Trzeźwy",NA,NA,NA,NA
106975861,"1","1","Kierujący","1973-05-16","Mężczyzna","Posiada","27","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106975861,"2","1","Kierujący","1975-12-02","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106975925,"1","1","Kierujący","1975-12-07","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106975925,"2","1","Kierujący","1989-04-18","Mężczyzna","Posiada","8","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106975964,"1","1","Kierujący","1962-09-28","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106975964,"2","1","Kierujący","1956-02-28","Kobieta","Posiada","30","Nieprzestrzeganie innych sygnałów","Mandat karny","Trzeźwy",NA,NA,NA,NA
106975977,"1","1","Kierujący","1973-03-17","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106975977,"2","1","Kierujący","1985-01-22","Kobieta","Posiada","10","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106976231,"1","1","Kierujący","2006-02-25","Mężczyzna","Nie wymagane",NA,NA,"Dochodzenie","Trzeźwy","Ranny lekko",NA,NA,NA
106976231,"2","1","Kierujący","1975-06-20","Kobieta","Posiada","18",NA,NA,"Trzeźwy",NA,NA,NA,NA
106976536,"1","1","Kierujący","1980-01-03","Kobieta","Posiada","18","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106976536,"2","1","Kierujący","1985-03-24","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106976606,"1","1","Kierujący","1997-09-13","Kobieta","Posiada","3","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106976606,"2","1","Kierujący","2005-09-21","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106976822,"1","1","Kierujący","2006-08-11","Kobieta","Posiada","1","Inne przyczyny","Dochodzenie","Trzeźwy","Ranny ciężko",NA,NA,NA
106976822,"2","1","Kierujący","1967-09-13","Mężczyzna","Posiada","31",NA,NA,"Trzeźwy",NA,NA,NA,NA
106976942,"1","1","Kierujący","1999-05-12","Mężczyzna","Posiada","1","Inne przyczyny","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106976942,"2","1","Kierujący","2007-03-12","Mężczyzna","Nie posiada",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106977112,"1","1","Kierujący","1957-09-03","Kobieta","Nie wymagane",NA,NA,"Inny sposób zakończenia","Trzeźwy","Ranny ciężko",NA,NA,NA
106977188,"1","1","Kierujący","1977-02-11","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106977188,"2","1","Kierujący","1959-04-30","Mężczyzna","Posiada","31","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106977188,"3","1","Kierujący","1972-01-21","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106977508,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106977508,"2","1","Kierujący","2004-10-09","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106977791,"1","1","Kierujący","1947-04-07","Mężczyzna","Nie wymagane",NA,"Nieprawidłowe: skręcanie","Dochodzenie","Alkoholu","Śmierć w ciągu 30 dni",NA,NA,NA
106977791,"2","1","Kierujący","1981-06-08","Mężczyzna","Posiada","14",NA,NA,"Trzeźwy",NA,NA,NA,NA
106979002,"1","1","Kierujący","1982-06-13","Kobieta","Posiada","12","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106979002,"2","1","Kierujący","1974-08-20","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106979063,"1","1","Kierujący","1997-04-20","Mężczyzna","Posiada","2",NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106979063,"2","1","Kierujący","1986-01-26","Kobieta","Posiada","10","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106979894,"1","1","Kierujący","1981-10-03","Kobieta","Posiada","6","Nieudzielenie pierwszeństwa przejazdu","Pouczenie","Trzeźwy",NA,NA,NA,NA
106979894,"2","1","Kierujący","1959-07-05","Kobieta","Nie wymagane",NA,"Inne przyczyny","Pouczenie","Trzeźwy","Ranny lekko",NA,NA,NA
106980197,"1","1","Kierujący","2002-02-03","Mężczyzna","Nie posiada",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106980197,"2","1","Kierujący","1949-05-24","Mężczyzna","Posiada","45","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106980333,"1","1","Kierujący","1984-02-24","Mężczyzna","Posiada","17","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106980333,"2","1","Kierujący","1957-12-02","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Alkoholu",NA,NA,NA,NA
106980818,"1","1","Kierujący","1998-08-21","Kobieta","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106980818,"2","1","Kierujący","1981-02-28","Mężczyzna","Posiada","20",NA,NA,"Trzeźwy",NA,NA,NA,NA
106981051,"1","1","Kierujący","1999-01-04","Mężczyzna","Posiada","1","Nieprawidłowe: wyprzedzanie","Mandat karny","Trzeźwy",NA,NA,NA,NA
106981051,"2","1","Kierujący","1958-08-13","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106981109,"1","1","Kierujący","1960-01-13","Kobieta","Posiada","26","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106981109,"2","1","Kierujący","1962-09-19","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106981965,"1","1","Kierujący","1988-01-25","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106981965,"2","1","Kierujący","1963-10-02","Mężczyzna","Posiada","31","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106982305,"1","1","Kierujący","1949-06-15","Kobieta","Posiada","55","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106982305,"2","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106982630,"1","1","Kierujący","1960-04-06","Mężczyzna","Nie wymagane",NA,"Nieprawidłowe: wyprzedzanie","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106982630,"2","1","Kierujący","1983-04-24","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106982741,"1","1","Kierujący","1999-04-09","Mężczyzna","Posiada","6","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy","Ranny lekko",NA,NA,NA
106982741,"2","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106983600,"1","1","Kierujący","1978-12-18","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106983600,"2","1","Kierujący","Nieustalona","Mężczyzna",NA,NA,"Nieprawidłowe przejeżdżanie przejazdu dla rowerzystów","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106984015,"1","1","Kierujący","1952-11-05","Mężczyzna","Posiada","38","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106984015,"2","1","Kierujący","1957-10-29","Mężczyzna","Posiada","35",NA,NA,"Trzeźwy",NA,NA,NA,NA
106984980,"1","1","Kierujący","2003-09-09","Mężczyzna","Nie posiada",NA,"Nieudzielenie pierwszeństwa przejazdu","Pouczenie","Trzeźwy",NA,NA,NA,NA
106984980,"2","1","Kierujący","1981-01-28","Mężczyzna","Posiada","18",NA,NA,"Trzeźwy",NA,NA,NA,NA
106985727,"1","1","Kierujący","1995-06-09","Mężczyzna","Posiada","5","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106985727,"2","1","Kierujący","1948-02-04","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106985844,"1","1","Kierujący","1995-03-16","Mężczyzna","Posiada","2","Nieprawidłowe: omijanie","Mandat karny","Trzeźwy",NA,NA,NA,NA
106985844,"2","1","Kierujący","1945-07-24","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106986156,"1","1","Kierujący","1999-07-15","Kobieta","Nie wymagane",NA,"Inne przyczyny","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106986204,"1","1","Kierujący","Nieustalona","Mężczyzna","Nie wymagane",NA,"Niezachowanie bezp. odl. między pojazdami","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106986204,"2","1","Kierujący","1944-04-04","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106986436,"1","1","Kierujący","Nieustalona","Nie ustalono","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106986436,"2","1","Kierujący","1974-05-05","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106986925,"1","1","Kierujący","1995-11-18","Kobieta","Posiada","4","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106986925,"2","1","Kierujący","1948-04-16","Mężczyzna","Posiada","49",NA,NA,"Trzeźwy",NA,NA,NA,NA
106987119,"1","1","Kierujący","1978-10-27","Kobieta","Posiada","20","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106987119,"2","1","Kierujący","1983-08-25","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106987451,"1","1","Kierujący","2009-08-18","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Inny sposób zakończenia","Trzeźwy",NA,NA,NA,NA
106987451,"2","1","Kierujący","1991-03-25","Mężczyzna","Posiada","4",NA,NA,"Trzeźwy",NA,NA,NA,NA
106987507,"1","1","Kierujący","1980-09-22","Kobieta","Posiada","18",NA,NA,"Trzeźwy",NA,NA,NA,NA
106987507,"2","1","Kierujący","2005-01-09","Mężczyzna","Nie posiada",NA,"Niezachowanie bezp. odl. między pojazdami","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106987755,"1","1","Kierujący","1990-02-01","Kobieta","Nie wymagane",NA,"Inne przyczyny","Pouczenie","Trzeźwy","Ranny lekko",NA,NA,NA
106987798,"1","1","Kierujący","1993-04-01","Kobieta","Nie wymagane",NA,NA,"Dochodzenie","Trzeźwy","Ranny lekko",NA,NA,NA
106987868,"1","1","Kierujący","1997-12-10","Mężczyzna","Posiada","2","Nieprawidłowe przejeżdżanie przejazdu dla rowerzystów","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106987868,"2","1","Kierujący","1954-12-11","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny ciężko",NA,NA,NA
106987882,"1","1","Kierujący","1976-05-22","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny ciężko",NA,NA,NA
106987882,"2","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106988503,"1","1","Kierujący","1979-01-03","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106988503,"2","1","Kierujący","1987-08-26","Kobieta","Posiada","12","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106988714,"1","1","Kierujący","1989-05-05","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106988714,"2","1","Kierujący","1977-04-24","Mężczyzna","Posiada","24","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106988728,"1","1","Kierujący","Nieustalona","Mężczyzna",NA,NA,"Inne przyczyny","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106989055,"1","1","Kierujący","1986-07-18","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106989055,"2","1","Kierujący","1996-01-27","Mężczyzna","Posiada","3","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106989790,"1","1","Kierujący","2002-06-06","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106989790,"2","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106989882,"1","1","Kierujący","1982-04-18","Mężczyzna","Posiada","2","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106989882,"2","1","Kierujący","1969-07-12","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106989968,"1","1","Kierujący","1964-05-12","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106989968,"2","1","Kierujący","1969-11-13","Mężczyzna","Posiada","27","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106990256,"1","1","Kierujący","1983-11-25","Kobieta","Posiada","12","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106990256,"2","1","Kierujący","1976-05-22","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106990638,"1","1","Kierujący","1988-07-01","Kobieta","Posiada","11","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106990638,"2","1","Kierujący","1971-06-26","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106991433,"1","1","Kierujący","1961-07-04","Kobieta","Posiada","39","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106991433,"2","1","Kierujący","1955-06-25","Mężczyzna","Posiada","42",NA,NA,"Trzeźwy",NA,NA,NA,NA
106991618,"1","1","Kierujący","1997-08-19","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106991618,"2","1","Kierujący","1990-09-22","Kobieta","Nie posiada",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106992139,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106992139,"2","1","Kierujący","1972-01-16","Kobieta","Nie wymagane",NA,"Inne przyczyny","Mandat karny","Alkoholu",NA,NA,NA,NA
106992194,"1","1","Kierujący","1984-05-15","Kobieta","Posiada","13",NA,NA,"Trzeźwy",NA,NA,NA,NA
106992194,"2","1","Kierujący","1994-01-05","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy","Ranny lekko",NA,NA,NA
